Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,price,url,Final de placa
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,Hatch,2014,100000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,78118060,Várzea Grande,Cristo Rei,28900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/palio-entrada-de-r-5-000-892139940,
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX SPORTLINE/SPORTS 1.6/1.6 TOT.FLEX 4P,VW - VOLKSWAGEN,Hatch,2014,74000,1.6,Flex,Automático,Hidráulica,Branco,4 portas,78455000,Lucas do Rio Verde,,30000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-2014-automatico-895696004,8
"Carros, vans e utilitários",JEEP STD 1.8 4X2 FLEX 16V AUT,JEEP,SUV,2021,4774,,Flex,Automático,Elétrica,Branco,4 portas,78115800,Várzea Grande,Ponte Nova,89000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-std-flex-automatico-4p-884114404,6
"Carros, vans e utilitários",GM - CHEVROLET AGILE LT 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2011,141231,1.4,Flex,Manual,Hidráulica,Preto,,78195000,Chapada dos Guimarães,,19999.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/agile-lt-1-4-r-19-990-894800728,2
"Carros, vans e utilitários",RENAULT DUSTER EXPRESSION1.6 FLEX 16V AUT.,RENAULT,Van/Utilitário,2018,99000,1.6,Flex,Semi-Automático,Hidráulica,Branco,4 portas,78117440,Várzea Grande,Cristo Rei,62890.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/duster-cvt-expression-2018-858131726,5
"Carros, vans e utilitários",GM - CHEVROLET BLAZER,GM - CHEVROLET,SUV,2001,250000,2.0 - 2.9,Diesel,Manual,Hidráulica,Prata,4 portas,78088525,Cuiabá,Altos do Coxipó,45000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/blazer-dlx-2-8-4-4-diesel-897290221,
"Carros, vans e utilitários",FIAT SIENA EL 1.4 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2015,1,1.4,Flex,Manual,Hidráulica,Branco,,78557010,Sinop,Res Brasília,36990.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/siena-el-1-4-897291974,6
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,,2014,101000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,78125152,Várzea Grande,Centro-Sul,28900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-1-0-mi-16v-4p-894547533,5
"Carros, vans e utilitários",FORD ECOSPORT STORM 2.0 4WD 16V FLEX 5P AUT.,FORD,Passeio,2020,53077,,Flex,Automático,,,4 portas,78015600,Cuiabá,Poção,85160.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ecosport-2019-2020-2-0-direct-flex-storm-4wd-automatico-897289940,7
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LT 2.5 FLEX 4X4 CD,GM - CHEVROLET,,2017,131,2.0 - 2.9,Flex,Manual,Hidráulica,Prata,4 portas,78115295,Várzea Grande,Ponte Nova,104999.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-2-5-4x4-lt-2016-2017-891300810,0
"Carros, vans e utilitários",GM - CHEVROLET ONIX,GM - CHEVROLET,Sedã,2019,67000,1.0,Flex,Manual,Elétrica,Cinza,4 portas,78840000,Campo Verde,,54000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/onix-plus-joy-prisma-897266203,
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. ADVANT. 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,Passeio,2015,88043,1.4,Flex,Manual,Hidráulica,Preto,4 portas,78015020,Cuiabá,Terceiro,41900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-prisma-1-4-lt-spe-4-897274137,1
"Carros, vans e utilitários",FIAT ARGO HGT 1.8 16V FLEX AUT.,FIAT,Hatch,2021,0,,Flex,Automático,Elétrica,Branco,4 portas,78115800,Várzea Grande,Ponte Nova,92780.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-hgt-1-8-at6-flex-zero-km-4p-897273323,1
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CD,FIAT,Pick-up,2015,118000,1.4,Flex,Manual,Hidráulica,Preto,4 portas,78360000,Campo Novo do Parecis,,54000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/strada-hard-working-cd-14-15-897283015,7
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX TRENDLINE 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2011,93000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,78118256,Várzea Grande,Cristo Rei,25500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fox-trend-completo-897269157,1
"Carros, vans e utilitários",GM - CHEVROLET S10 P-UP EXECUTIVE 2.4 MPFI F.POWER CD,GM - CHEVROLET,Pick-up,2009,121000,2.0 - 2.9,Diesel,Manual,Hidráulica,Preto,4 portas,78030005,Cuiabá,Cidade Alta,67000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/s10-diesel-para-pessoas-exigentes-897267160,2
"Carros, vans e utilitários",FIAT PALIO 1.0 CEL. ECON./ITALIA F.FLEX 8V 4P,FIAT,Hatch,2013,47000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,78000000,Cuiabá,,28000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/palio-atractive-semi-novo-apenas-47-mil-km-897265961,3
"Carros, vans e utilitários",FIAT ARGO PRECISION 1.8 16VFLEX AUT.,FIAT,Hatch,2018,76000,1.8,Flex,Automático,Elétrica,Branco,4 portas,78025340,Cuiabá,Porto,61990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/argo-precision-1-8-flex-at6-897264701,6
"Carros, vans e utilitários",FIAT DOBLO ESSENCE 1.8 FLEX 16V 5P,FIAT,,2017,79584,,Flex,Manual,Hidráulica,Prata,4 portas,78115800,Várzea Grande,Ponte Nova,54900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-doblo-essence-1-8-7l-flex-manual-4p-895409365,6
"Carros, vans e utilitários",HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,HYUNDAI,Hatch,2015,45000,1.6,Flex,Automático,Hidráulica,Branco,4 portas,78000000,Cuiabá,,42000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/financiamento-entrada-900-897260026,9
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL CL 1.6 MI 2P E 4P,VW - VOLKSWAGEN,Passeio,1997,0,1.6,Gasolina,Manual,Mecânica,Preto,2 portas,78151100,Várzea Grande,Residencial Alice Gonçalves de Campos,5000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-ap-97-vende-ou-troca-por-uno-897255893,1
"Carros, vans e utilitários",HYUNDAI HB20,HYUNDAI,,2016,50000,,Flex,,Hidráulica,,,78615000,Araguainha,,8000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/agio-de-hb20-2016-897257695,
"Carros, vans e utilitários",FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,Hatch,2011,16,1.0,Flex,Manual,Mecânica,Vermelho,2 portas,78048602,Cuiabá,Alvorada,16900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2011-897259907,9
"Carros, vans e utilitários",FORD FIESTA SE 1.6 8V FLEX 5P,FORD,Hatch,2014,100000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,78075901,Cuiabá,Jardim Imperial,,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiesta-se-1-6-8v-flex-5p-897256702,
"Carros, vans e utilitários",PEUGEOT 208 ACTIVE 1.2 FLEX 12V 5P MEC.,PEUGEOT,Passeio,2020,50486,,Flex,Manual,,,4 portas,78015600,Cuiabá,Poção,49800.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/208-2019-2020-1-2-active-12v-flex-4p-manual-897245155,8
"Carros, vans e utilitários",FIAT PALIO WAY 1.0 FIRE FLEX 8V 5P,FIAT,Hatch,2015,147000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,78010200,Cuiabá,Bandeirantes,31900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-897247661,1
"Carros, vans e utilitários",RENAULT LOGAN ZEN FLEX 1.0 12V 4P MEC.,RENAULT,Passeio,2021,47255,,Flex,Manual,,,4 portas,78015600,Cuiabá,Poção,55220.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/logan-2020-2021-1-0-12v-sce-flex-zen-manual-897247179,8
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT.,JEEP,SUV,2018,69000,2.0 - 2.9,Diesel,Automático,Hidráulica,Preto,4 portas,78300000,Tangará da Serra,,135000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2018-893407208,8
"Carros, vans e utilitários",HONDA ACCORD SEDAN EX 2.0 16V 156CV AUT.,HONDA,Sedã,1995,70000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Verde,4 portas,78135340,Várzea Grande,Canelas,12000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/veiculo-897243683,2
"Carros, vans e utilitários",FORD ECOSPORT XLS 1.6/ 1.6 FLEX 8V 5P,FORD,SUV,2009,159900,1.6,Flex,Manual,Hidráulica,Preto,4 portas,78010200,Cuiabá,Bandeirantes,29900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-897243008,3
"Carros, vans e utilitários",HYUNDAI CRETA PULSE 1.6 16V FLEX AUT.,HYUNDAI,SUV,2017,44000,1.6,Flex,Automático,Elétrica,Branco,4 portas,78455000,Lucas do Rio Verde,,80000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/hyunda-creta-1-6-automatico-897242422,2
"Carros, vans e utilitários",RENAULT SANDERO ZEN FLEX 1.0 12V 5P MEC.,RENAULT,Passeio,2020,47500,,Flex,Manual,,,4 portas,78015600,Cuiabá,Poção,51480.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/sandero-2019-2020-1-0-12v-sce-flex-zen-manual-897238683,9
"Carros, vans e utilitários",AUDI A3 1.8 5P AUT.,AUDI,Hatch,2001,160000,1.8,Gasolina,Automático,Hidráulica,Branco,4 portas,78088700,Cuiabá,São Francisco,7500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/audi-897235755,6
"Carros, vans e utilitários",JEEP RENEGADE 1.8 4X2 FLEX 16V MEC.,JEEP,Passeio,2020,46652,,Flex,Automático,,,4 portas,78015600,Cuiabá,Poção,92750.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/renegade-2019-2020-1-8-16v-flex-longitude-4p-automatico-897238496,7
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,Passeio,2020,48488,,Flex,Manual,,,4 portas,78015600,Cuiabá,Poção,50660.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ka-2019-2020-1-0-ti-vct-flex-se-plus-sedan-manual-897237956,7
"Carros, vans e utilitários",FORD FUSION TITANIUM 2.0 GTDI ECO. FWD AUT.,FORD,Sedã,2015,85000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Branco,4 portas,78300000,Tangará da Serra,,72000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-fusion-titanium-2015-fwd-895654282,8
"Carros, vans e utilitários",JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.,JEEP,Passeio,2019,40396,,Flex,Automático,,,4 portas,78015600,Cuiabá,Poção,89150.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/renegade-2019-2019-1-8-16v-flex-longitude-4p-automatico-897238256,4
"Carros, vans e utilitários",MITSUBISHI ASX 2.0 16V 160CV AUT.,MITSUBISHI,SUV,2011,124000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,78005505,Cuiabá,Araés,52870.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/asx-2-0-automatico-gasolina-2010-2011-894111778,5
"Carros, vans e utilitários",FIAT SIENA CELEBRATION 1.0 FIRE FLEX 8V 4P,FIAT,,2013,90000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,78065385,Cuiabá,Jardim Paulista,31990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-siena-el-n-serie-celebration-3-1-0-8v-flex-4p-897235593,5
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2018,101,,Flex,Manual,Elétrica,Preto,4 portas,78115800,Várzea Grande,Ponte Nova,49900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-1-4-lt-flex-manual-4p-897233500,2
"Carros, vans e utilitários",FIAT ARGO DRIVE 1.0 6V FLEX,FIAT,Hatch,2019,23886,1.0,Flex,Manual,Elétrica,Preto,4 portas,78065290,Cuiabá,Campo Velho,45000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2019-897230926,7
"Carros, vans e utilitários",GM - CHEVROLET OPALA DIPLOMATA/DIPLOM. SLE 4.1/2.5,GM - CHEVROLET,Sedã,1991,150000,4.0 ou mais,Álcool,Manual,Hidráulica,Azul,4 portas,78820000,Jaciara,,45000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/opala-91-6-0-897232264,5
"Carros, vans e utilitários",CITROEN XSARA PICASSO GLX/BRASIL/ETOILE 2.0 MEC.,CITROEN,Van/Utilitário,2004,192000,2.0 - 2.9,Gasolina,Manual,Hidráulica,Verde,4 portas,78090672,Cuiabá,Nossa Senhora Aparecida,12900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/xsara-picasso-gx-2-0l-mec-04-04-897230656,
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,Passeio,2019,44500,,Flex,Automático,,,4 portas,78015600,Cuiabá,Poção,119540.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/compass-2019-2019-2-0-16v-diesel-longitude-4x4-automatico-897225221,4
"Carros, vans e utilitários",RENAULT DUSTER OROCH DYNA. 2.0 HI-FLEX 16V AUT.,RENAULT,Passeio,2020,59444,,Flex,Automático,,,4 portas,78015600,Cuiabá,Poção,85980.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/duster-oroch-2019-2020-2-0-16v-hi-flex-dynamique-automatico-897228974,5
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.6 MSI FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2014,80000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,78085000,Cuiabá,Coxipó,39999.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-completo-897220827,0
"Carros, vans e utilitários",GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,Hatch,2012,119000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,78065470,Cuiabá,Grande Terceiro,25900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/celta-1-0-lt-flex-883373795,8
"Carros, vans e utilitários",GM - CHEVROLET CELTA SUPER 1.0 MPFI 8V FLEXPOWER 3P,GM - CHEVROLET,Hatch,2001,150000,1.0,Gasolina,Manual,Mecânica,Prata,2 portas,78015305,Cuiabá,Dom Aquino,12000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gm-celta-2001-897214321,8
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,1993,1000000,1.8,Álcool,Manual,Hidráulica,Vermelho,2 portas,78095140,Cuiabá,Parque Atalaia,30000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-gts-897214839,1
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX TRENDLINE 1.0 FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2015,58000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,78135395,Várzea Grande,Canelas,36900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-fox-1-0-trendline-14-15-completo-pegamos-carros-e-motos-como-entrada-860800294,1
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 PLUS 8V 4P,VW - VOLKSWAGEN,Hatch,2011,45000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,78070675,Cuiabá,Praeirinho,22500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-completo-897210956,5
"Carros, vans e utilitários",TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,TOYOTA,Sedã,2008,90000,2.0 - 2.9,Flex,Automático,Hidráulica,Preto,4 portas,78820000,Jaciara,,45000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-897210927,4
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.6/1.6 CITY  MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2019,40000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,78050310,Cuiabá,Canjica,49990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/voyage-897210945,4
"Carros, vans e utilitários",FIAT TORO FREEDOM 2.0 16V 4X4 DIESEL AUT.,FIAT,Pick-up,2021,2500,2.0 - 2.9,Diesel,Automático,Elétrica,Branco,4 portas,78050000,Cuiabá,Bosque da Saúde,145000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-freedom-2-0-diesel-automatico-4x4-semi-nova-20-21-897201112,2
"Carros, vans e utilitários",RENAULT SANDERO ZEN FLEX 1.0 12V 5P MEC.,RENAULT,Passeio,2020,50321,,Flex,Manual,,,4 portas,78015600,Cuiabá,Poção,51230.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/sandero-2019-2020-1-6-16v-sce-flex-zen-manual-897207803,7
"Carros, vans e utilitários",HONDA HR-V TOURING 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2017,48000,1.8,Flex,Automático,Elétrica,Preto,4 portas,78045008,Cuiabá,Quilombo,95000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/hr-v-touring-2017-897209634,0
"Carros, vans e utilitários",FIAT STRADA 1.4 MPI FIRE FLEX 8V CS,FIAT,Pick-up,2014,137000,1.4,Flex,Manual,Hidráulica,Branco,2 portas,78698000,Pontal do Araguaia,,40000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/pik-up-strada-1-4-2014-15-897206877,7
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2019,35000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,78008800,Cuiabá,Lixeira,42900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/gol-g8-completo-2019-880870339,0
"Carros, vans e utilitários",HONDA CIVIC SEDAN LXR 2.0 FLEXONE 16V AUT. 4P,HONDA,Sedã,2014,0,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,78070100,Cuiabá,Jardim Petrópolis,60900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxr-flexone-2-0-2013-2014-pra-vender-rapido-884201667,8
"Carros, vans e utilitários",HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,Hatch,2019,30000,1.6,Flex,Automático,Elétrica,Branco,4 portas,78040140,Cuiabá,Santa Rosa,69900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/hb20-premuim-1-6-automatico-2019-891729812,
"Carros, vans e utilitários",RENAULT LOGAN AUTHENTIQUE HI-FLEX 1.6 8V 4P,RENAULT,Sedã,2009,170000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,78250000,Pontes e Lacerda,,15000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/carro-897167199,0
"Carros, vans e utilitários",FORD ,FORD,Hatch,2013,72,1.6,Flex,Manual,Elétrica,Branco,4 portas,78710270,Rondonópolis,Loteamento Monte Líbano,35000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/vendo-new-fiesta-completo-897169653,8
"Carros, vans e utilitários",RENAULT SANDERO EXPRESSION FLEX 1.0 12V 5P,RENAULT,,2017,89500,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,78065385,Cuiabá,Jardim Paulista,37990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-expression-flex-1-0-12v-5p-859720859,4
"Carros, vans e utilitários",RENAULT SANDERO PRIVILÈGE HI-FLEX 1.6 8V 5P,RENAULT,Hatch,2013,158000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,78000000,Cuiabá,,25999.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/sandero-1-6-previllege-8v-897147029,7
"Carros, vans e utilitários",TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.,TOYOTA,Sedã,2009,152000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,78635000,Água Boa,,43000.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-1-8-2009-2010-897156134,6
"Carros, vans e utilitários",RENAULT LOGAN EXPRESSION HI-FLEX 1.6 8V 4P,RENAULT,Sedã,2017,98360,1.6,Flex,Manual,Elétrica,Prata,4 portas,78085230,Cuiabá,Coophema,38000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-expression-1-6-2016-2017-897142171,0
"Carros, vans e utilitários",PEUGEOT 206 HOLIDAY 1.4 8V 75CV 5P,PEUGEOT,Hatch,2004,200000,1.4,Gasolina,Manual,Hidráulica,Prata,4 portas,78195000,Chapada dos Guimarães,,2500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/peugeot-206-897154034,7
"Carros, vans e utilitários",LAND ROVER FREELANDER2 I6 S 3.2 232CV AUT. 5P,LAND ROVER,SUV,2010,167000,3.0 - 3.9,Gasolina,Automático,Hidráulica,Preto,4 portas,78110000,Várzea Grande,,52990.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/land-rover-freelander-2-s-automatica-4x4-897142233,9
"Carros, vans e utilitários",CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,Hatch,2016,40000,1.6,Flex,Automático,Elétrica,Branco,4 portas,78145002,Várzea Grande,Ikaray,40000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/c3-2016-automatico-897141775,6
"Carros, vans e utilitários",FORD ,FORD,,1980,33000,4.0 ou mais,Gasolina,Automático,Hidráulica,Azul,4 portas,78053505,Cuiabá,Morada do Ouro,80000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-landau-1979-placa-preta-897134590,
"Carros, vans e utilitários",FORD ECOSPORT XLT 1.6/ 1.6 FLEX 8V 5P,FORD,SUV,2009,160000,,Flex,Manual,Hidráulica,Preto,4 portas,78158062,Várzea Grande,Jardim dos Estados,190000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/eco-sport-2008-2099-897124537,9
"Carros, vans e utilitários",PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,Sedã,2009,128200,1.6,Flex,Manual,Hidráulica,Preto,4 portas,78058900,Cuiabá,Novo Mato Grosso,16000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/peugeot-207-passion-2009-897132353,9
"Carros, vans e utilitários",FORD KA,FORD,Hatch,2011,14000,1.0,Gasolina,Manual,Mecânica,Preto,2 portas,78115280,Várzea Grande,Ponte Nova,13000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-ford-k-2011-atrasado-897125059,4
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,Hatch,2013,112000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,78095329,Cuiabá,Parque Cuiabá,20500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/fiesta-hatch-1-0-897127527,6
